"","x"
"1",32.2680922178552
"2",22.9794755252078
"3",21.5282654343173
"4",24.7888847766444
"5",32.1238742349669
"6",25.47684868332
"7",25.7774643693119
"8",37.8503288514912
"9",35.5771425738931
"10",36.6851317323744
"11",23.93978911452
"12",29.7973934048787
"13",31.1648725671694
"14",33.036594572477
"15",25.0700725708157
"16",21.3193143485114
"17",34.7569605428725
"18",28.8172229984775
"19",29.9208509270102
"20",39.9377047503367
"21",27.6623630989343
"22",28.1106810551137
"23",32.3069153213874
"24",38.5750638274476
"25",36.3059811852872
"26",30.3693507565185
"27",38.2096985122189
"28",21.1871722107753
"29",35.3002647589892
"30",29.021506998688
"31",35.5928650870919
"32",22.4709644494578
"33",33.112567095086
"34",33.8556317286566
"35",36.4041928807274
"36",34.239516844973
"37",26.1461578356102
"38",25.4505327902734
"39",27.7767351595685
"40",21.3148803543299
"41",27.8184076212347
"42",25.9274091012776
"43",31.3271173415706
"44",28.1692163087428
"45",32.4594847019762
"46",30.2093231631443
"47",34.2528797127306
"48",39.2918574530631
"49",21.577991778031
"50",35.2114990912378
"51",20.2453450998291
"52",36.330608301796
"53",28.8610409712419
"54",36.4309201110154
"55",38.0414548609406
"56",31.5703159058467
"57",37.4628269206733
"58",22.0337062003091
"59",29.2012382065877
"60",39.9643989605829
"61",23.4965573670343
"62",24.4574520597234
"63",31.0865662433207
"64",33.4117498807609
"65",27.8791974484921
"66",34.994793520309
"67",20.8868946973234
"68",24.4186120806262
"69",32.8280248073861
"70",37.9016380291432
"71",37.460250123404
"72",29.7224028920755
"73",39.4857248850167
"74",39.7648884309456
"75",38.8714903639629
"76",23.4195164870471
"77",22.6658108225092
"78",37.3563802521676
"79",29.0594666451216
"80",25.4061363916844
"81",29.6066128835082
"82",20.2833515359089
"83",25.9508805396035
"84",27.2845836076885
"85",34.2262017400935
"86",34.9713025754318
"87",20.7551346672699
"88",30.8108248515055
"89",36.8687810702249
"90",29.074572599493
"91",37.9015144240111
"92",27.4719545524567
"93",25.2654400654137
"94",30.5695471912622
"95",35.8674775855616
"96",39.2610479472205
"97",28.8482447899878
"98",29.4300120696425
"99",38.1283583212644
"100",20.5019735358655
"101",30.3505814261734
"102",23.115978599526
"103",31.4483346790075
"104",38.0945025198162
"105",29.1979946894571
"106",26.2132578575984
"107",36.9558134488761
"108",30.5197445489466
"109",37.7866021124646
"110",33.2611349737272
"111",31.7200270947069
"112",28.1592355109751
"113",25.3476521652192
"114",32.8698857501149
"115",29.0270321257412
"116",35.0900489138439
"117",26.3969564856961
"118",38.7560339458287
"119",33.377838791348
"120",30.4787811310962
"121",33.1942722946405
"122",28.8641657494009
"123",26.7991962097585
"124",29.4356757681817
"125",22.8341962303966
"126",24.8172317631543
"127",36.1800658144057
"128",35.0273593189195
"129",24.0877704555169
"130",30.3918893402442
"131",37.7679513208568
"132",30.3035708004609
"133",26.2868727510795
"134",33.4059366211295
"135",23.8384314579889
"136",23.7210365803912
"137",20.4172327835113
"138",24.2196070589125
"139",34.7845556726679
"140",23.7074151961133
"141",37.1893742214888
"142",34.9822231801227
"143",38.1633023358881
"144",31.9739139499143
"145",34.3726441403851
"146",35.7144441176206
"147",25.8819727087393
"148",37.6162442658097
"149",20.0891144480556
"150",34.9023408722132
"151",24.1667482256889
"152",27.7882556291297
"153",37.4052463425323
"154",27.7919894689694
"155",20.0462777074426
"156",26.9464493263513
"157",27.4398366827518
"158",35.3904759185389
"159",26.0678731231019
"160",30.8204595092684
"161",38.2878182735294
"162",21.8359779799357
"163",30.645986367017
"164",30.035646148026
"165",20.1360161881894
"166",28.7063934095204
"167",24.6739510679618
"168",39.6393406204879
"169",30.5739416042343
"170",28.5201369831339
"171",30.4177546547726
"172",23.494689995423
"173",38.5641504032537
"174",29.2684475006536
"175",37.5367358559743
"176",37.4463107855991
"177",39.7286403411999
"178",37.8416285570711
"179",25.7664036843926
"180",36.2058202363551
"181",28.1972857564688
"182",28.0598459718749
"183",28.7711964314803
"184",20.9638993255794
"185",36.1927039036527
"186",33.1664521526545
"187",20.6230716546997
"188",33.968398636207
"189",28.7717686174437
"190",27.1492110006511
"191",31.3361054565758
"192",29.3525551445782
"193",20.2486026426777
"194",33.240979835391
"195",39.5141158113256
"196",23.701096419245
"197",20.7164668338373
"198",26.9735145382583
"199",33.8382302969694
"200",38.2736609363928
"201",34.5827940525487
"202",28.1036292295903
"203",36.3742476934567
"204",31.0118471831083
"205",33.7702535651624
"206",27.4564087064937
"207",39.1471598576754
"208",34.7295558545738
"209",39.8104649409652
"210",20.2956529799849
"211",27.3387321829796
"212",28.4642816381529
"213",22.5954376813024
"214",21.8876538937911
"215",33.4660865738988
"216",23.4758339589462
"217",25.1065343664959
"218",29.1260641301051
"219",25.6473543634638
"220",23.8987188134342
"221",22.5315752113238
"222",38.0537766963243
"223",32.8672046586871
"224",28.7391447369009
"225",32.5080073624849
"226",25.4168923059478
"227",31.0337248025462
"228",25.9651120286435
"229",39.3919894751161
"230",31.4736829511821
"231",29.861858789809
"232",33.6453932709992
"233",21.3535492308438
"234",31.1562338611111
"235",39.5796321192756
"236",28.3349459385499
"237",21.3573542051017
"238",26.6006492637098
"239",23.8160306029022
"240",33.3167354855686
"241",25.0338210631162
"242",32.8084049187601
"243",35.1795334555209
"244",35.5080743692815
"245",35.9008135087788
"246",26.3935990165919
"247",26.3350721169263
"248",36.1128388997167
"249",38.1579888006672
"250",38.7734895665199
"251",32.4883815320209
"252",37.1623509842902
"253",21.5515438001603
"254",23.1444097450003
"255",30.5574901215732
"256",26.5822835825384
"257",28.5258842771873
"258",37.7744639106095
"259",23.0851371167228
"260",24.372646426782
"261",21.7628136835992
"262",36.6603819513693
"263",24.0946045611054
"264",24.132569427602
"265",31.2639515474439
"266",30.8210270665586
"267",22.407376668416
"268",23.8964360067621
"269",33.8270587287843
"270",33.1845370633528
"271",27.389084501192
"272",20.3777137724683
"273",37.0633824914694
"274",28.2091454276815
"275",27.094633798115
"276",30.1330830715597
"277",25.1184601197019
"278",38.2525427360088
"279",34.3010498164222
"280",23.1853304570541
"281",20.0067180488259
"282",29.0651709213853
"283",22.2745301807299
"284",23.3566088182852
"285",36.9889348279685
"286",24.1273177787662
"287",32.0769868372008
"288",39.6830846183002
"289",33.5125903785229
"290",22.6143760094419
"291",23.795592803508
"292",30.1437873626128
"293",21.0282661439851
"294",24.3931517889723
"295",20.0080434419215
"296",28.1505034677684
"297",22.5466086762026
"298",20.9394818684086
"299",22.3306929506361
"300",23.5411698231474
"301",34.3553421320394
"302",29.0563584072515
"303",33.7277628993616
"304",22.5392689136788
"305",38.2571496674791
"306",38.4804393956438
"307",32.7354411734268
"308",31.2084497371688
"309",27.9003328457475
"310",37.1773476013914
"311",24.0997732896358
"312",39.0115508669987
"313",22.8463274519891
"314",33.9386852830648
"315",34.7617581347004
"316",35.0204831222072
"317",27.2036116337404
"318",38.2359017524868
"319",37.9899579612538
"320",22.5414322689176
"321",33.6230296082795
"322",26.6556612402201
"323",21.004902147688
"324",25.1588891679421
"325",32.8080806042999
"326",31.1291495198384
"327",28.8647531438619
"328",37.3505623592064
"329",26.5674790367484
"330",31.3874282315373
"331",27.3069603974
"332",28.5010426351801
"333",27.2362509323284
"334",32.5104815792292
"335",28.1061119725928
"336",26.5862192353234
"337",30.0417194794863
"338",36.045688111335
"339",36.0758806066588
"340",29.635826330632
"341",34.1186183039099
"342",38.9227409195155
"343",31.5250074863434
"344",28.9233201276511
"345",34.7904177196324
"346",32.8699402604252
"347",36.3694950472564
"348",32.2389311436564
"349",30.7313874224201
"350",26.009488874115
"351",30.2889175293967
"352",25.6633121427149
"353",26.6570030897856
"354",32.7870236709714
"355",38.0584934353828
"356",33.6441884888336
"357",33.2318104850128
"358",35.2043333649635
"359",31.4711272111163
"360",26.5916329156607
"361",39.3593208258972
"362",24.8545723734424
"363",35.3742134198546
"364",24.3690559500828
"365",21.8592884810641
"366",28.6138214310631
"367",24.6474559279159
"368",25.714624193497
"369",21.7211818788201
"370",34.939252412878
"371",25.4830764746293
"372",24.9489054922014
"373",26.4213354419917
"374",27.1806408558041
"375",24.3580641923472
"376",31.3456969335675
"377",20.4303131718189
"378",31.9997032918036
"379",39.7098269267008
"380",35.5175898317248
"381",39.7374451067299
"382",27.4274313403293
"383",27.0826556626707
"384",25.9522400749847
"385",32.3567570745945
"386",26.0268619609997
"387",26.8241545837373
"388",25.3355290647596
"389",33.5700886975974
"390",25.6087599042803
"391",28.6857565073296
"392",23.1771977618337
"393",32.3785496549681
"394",27.9395932098851
"395",34.8687150795013
"396",38.2255371101201
"397",39.2144473083317
"398",37.2273714002222
"399",23.9035822032019
"400",23.2582201715559
"401",28.6735225142911
"402",20.3300415957347
"403",36.2338573113084
"404",36.2517896480858
"405",38.172676875256
"406",37.7890139725059
"407",22.9852765938267
"408",26.2616479210556
"409",20.2877848874778
"410",29.4030541460961
"411",22.7910252008587
"412",34.4457988999784
"413",22.2208427498117
"414",23.283997955732
